CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
7582,45,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7601,84,4.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
7603,100,5.0,2,,,,,,,,,Dias,,57.0,2.0,,,,,,
7605,104,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
7606,7,7.0,2,,,,,,,,,Meses,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0
7615,43,5.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
7615,87,4.0,2,,,,,,,,,Dias,,22.0,2.0,,,,,,
7621,16,11.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7622,92,10.0,2,,,,,,,,,Meses,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0
7623,85,7.0,2,,,,,,,,,Dias,,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
7628,156,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7630,81,8.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
7647,97,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7650,65,7.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,Meses,11.0,,2.0,,,,,,
7692,7,4.0,1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,Meses,3.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0
7703,55,7.0,2,,,,,,,,,Dias,,30.0,2.0,,,,,,
7745,107,9.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
7798,68,5.0,2,,,,,,,,,Dias,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
7812,61,8.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
7818,44,5.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
7888,80,4.0,2,,,,,,,,,Dias,,1.0,2.0,,,,,,
7898,190,4.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,
7921,50,5.0,2,,,,,,,,,Dias,,55.0,2.0,,,,,,
7921,103,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7943,23,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7943,58,6.0,2,,,,,,,,,Meses,8.0,,2.0,,,,,,
7960,80,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,9.0,,2.0,,,,,,
7962,12,99.0,2,,,,,,,,,Dias,,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
7977,31,6.0,2,,,,,,,,,Meses,11.0,,2.0,,,,,,
7992,38,8.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7992,101,99.0,2,,,,,,,,,Dias,,4.0,2.0,,,,,,
7992,132,7.0,2,,,,,,,,,Dias,,3.0,2.0,,,,,,
8013,39,7.0,2,,,,,,,,,Meses,7.0,,2.0,,,,,,
8013,74,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
8034,114,7.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8055,181,99.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0
8110,83,5.0,2,,,,,,,,,Dias,,62.0,2.0,,,,,,
8120,26,7.0,2,,,,,,,,,Dias,,27.0,2.0,,,,,,
8131,93,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8131,94,3.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
