,CONGLOME,VIVIENDA,ID,P209,P210_PSOC_01
604,6287,77,5.0,3.0,8.0
605,6287,77,5.0,3.0,8.0
606,6287,77,5.0,3.0,2.0
607,6287,77,5.0,3.0,2.0
608,7921,50,5.0,1.0,8.0
609,7921,50,5.0,1.0,8.0
610,7921,50,5.0,1.0,8.0
611,7921,50,5.0,1.0,8.0
612,7921,50,5.0,1.0,8.0
613,8596,102,9.0,3.0,8.0
614,8596,102,9.0,3.0,8.0
615,8596,102,9.0,3.0,8.0
616,8596,102,9.0,3.0,8.0
617,8596,102,9.0,3.0,8.0
618,8596,102,9.0,3.0,3.0
619,8596,102,9.0,3.0,3.0
620,8596,102,9.0,3.0,8.0
621,8596,102,9.0,3.0,8.0
622,8596,102,9.0,,
623,8596,102,9.0,,
624,9731,130,3.0,1.0,8.0
625,9731,130,3.0,1.0,8.0
626,9731,130,3.0,1.0,8.0
627,6421,45,4.0,1.0,8.0
628,6421,45,4.0,3.0,8.0
629,6421,45,4.0,3.0,4.0
630,6421,45,4.0,3.0,4.0
631,10380,11,7.0,,
632,10380,11,7.0,,
633,10380,11,7.0,,
634,10380,11,7.0,,
635,10380,11,7.0,3.0,8.0
636,10380,11,7.0,3.0,3.0
637,10380,11,7.0,3.0,8.0
638,10380,55,5.0,3.0,8.0
639,10380,55,5.0,,
640,10380,55,5.0,6.0,8.0
641,10380,55,5.0,3.0,3.0
642,10380,55,5.0,3.0,8.0
643,10380,55,5.0,,
644,10380,55,5.0,,
645,10380,55,5.0,,
646,10380,55,5.0,,
647,7279,76,99.0,3.0,8.0
648,7279,76,99.0,3.0,8.0
649,7279,76,99.0,3.0,3.0
650,7279,76,99.0,3.0,2.0
651,7279,76,99.0,3.0,8.0
652,7279,76,4.0,3.0,8.0
653,7279,76,4.0,3.0,8.0
654,7279,76,4.0,3.0,3.0
655,7279,76,4.0,3.0,2.0
656,7279,76,4.0,3.0,8.0
657,9024,51,5.0,,
658,9024,51,5.0,,
659,9024,51,5.0,3.0,8.0
660,9024,51,5.0,6.0,8.0
661,9024,51,5.0,3.0,8.0
662,10359,133,6.0,3.0,8.0
663,10359,133,6.0,3.0,8.0
664,10359,133,6.0,6.0,8.0
665,10359,133,6.0,3.0,3.0
666,10359,133,6.0,3.0,3.0
667,10359,133,6.0,6.0,8.0
668,10359,30,5.0,3.0,8.0
669,10359,30,5.0,3.0,8.0
670,10359,30,5.0,3.0,8.0
671,10359,30,5.0,3.0,3.0
672,10359,30,5.0,3.0,8.0
673,10175,113,4.0,1.0,8.0
674,10175,113,4.0,1.0,8.0
675,10175,113,4.0,1.0,3.0
676,10175,113,4.0,1.0,8.0
677,10175,113,4.0,,
678,7236,196,7.0,6.0,8.0
679,7236,196,7.0,3.0,8.0
680,7236,196,7.0,3.0,8.0
681,7236,196,7.0,3.0,3.0
682,7236,196,7.0,3.0,2.0
683,7236,196,7.0,3.0,8.0
684,7236,196,7.0,3.0,2.0
685,7207,86,3.0,1.0,8.0
686,7207,86,3.0,1.0,8.0
687,7207,86,3.0,1.0,8.0
688,7207,42,4.0,6.0,8.0
689,7207,42,4.0,3.0,2.0
690,7207,42,4.0,6.0,3.0
691,7207,42,4.0,3.0,8.0
692,10176,137,4.0,1.0,8.0
693,10176,137,4.0,1.0,8.0
694,10176,137,4.0,1.0,8.0
695,10176,137,4.0,1.0,2.0
696,7977,31,6.0,3.0,8.0
697,7977,31,6.0,6.0,8.0
698,7977,31,6.0,3.0,8.0
699,7977,31,6.0,3.0,8.0
700,7977,31,6.0,3.0,8.0
701,7977,31,6.0,3.0,8.0
702,8013,39,7.0,,
703,8013,39,7.0,1.0,8.0
704,8013,39,7.0,,
705,8013,39,7.0,3.0,8.0
706,8013,39,7.0,6.0,8.0
707,8013,39,7.0,1.0,8.0
708,8013,39,7.0,1.0,8.0
709,10254,157,4.0,1.0,8.0
710,10254,157,4.0,6.0,8.0
711,10254,157,4.0,3.0,8.0
712,10254,157,4.0,3.0,8.0
713,10254,157,4.0,6.0,8.0
714,7248,88,99.0,3.0,8.0
715,7248,88,99.0,3.0,8.0
716,7248,88,99.0,,
717,7248,88,99.0,3.0,8.0
718,7248,88,99.0,3.0,1.0
719,7248,88,99.0,3.0,8.0
720,7248,88,99.0,3.0,2.0
721,7248,88,99.0,3.0,8.0
722,7248,88,99.0,3.0,8.0
723,7248,88,99.0,3.0,4.0
724,7248,88,99.0,3.0,4.0
725,7248,88,99.0,,
726,7248,88,99.0,3.0,2.0
727,7248,88,5.0,3.0,8.0
728,7248,88,5.0,3.0,8.0
729,7248,88,5.0,,
730,7248,88,5.0,3.0,8.0
731,7248,88,5.0,3.0,1.0
732,7248,88,5.0,3.0,8.0
733,7248,88,5.0,3.0,2.0
734,7248,88,5.0,3.0,8.0
735,7248,88,5.0,3.0,8.0
736,7248,88,5.0,3.0,4.0
737,7248,88,5.0,3.0,4.0
738,7248,88,5.0,,
739,7248,88,5.0,3.0,2.0
740,7248,87,7.0,3.0,8.0
741,7248,87,7.0,3.0,8.0
742,7248,87,7.0,3.0,4.0
743,7248,87,7.0,3.0,4.0
744,7248,87,7.0,3.0,3.0
745,7248,87,7.0,3.0,3.0
746,7248,87,7.0,3.0,2.0
747,9740,133,7.0,6.0,8.0
748,9740,133,7.0,3.0,8.0
749,9740,133,7.0,,
